Date,WHealth
September 2009,3972
October 2009,8439
November 2009,9337
December 2009,5431
January 2010,4129
February 2010,7632
March 2010,10208
April 2010,14336
May 2010,7297
June 2010,10624
July 2010,37908
August 2010,25580
September 2010,30021
October 2010,24850
November 2010,30915
December 2010,28286
January 2011,48220
February 2011,66994
March 2011,54862
April 2011,62705
May 2011,59762
June 2011,55543
July 2011,56762
August 2011,73897
September 2011,59268
October 2011,45369
November 2011,58995
December 2011,46893
January 2012,61712
February 2012,289843
March 2012,238587
April 2012,87907
May 2012,78144
June 2012,75780
July 2012,120345
August 2012,302149
September 2012,158948
October 2012,250758
November 2012,160845
December 2012,96995
January 2013,206774
February 2013,164500
March 2013,185139
April 2013,176556
May 2013,179306
June 2013,183191
July 2013,188529
August 2013,146959
September 2013,151316
October 2013,181161
November 2013,174900
December 2013,146080
January 2014,198872
